year,city,country,avg_temp,moving_avg_10yrs
1820,Austin,United States,18.83,
1821,Austin,United States,20.75,
1822,Austin,United States,25.48,
1823,Austin,United States,19.34,
1824,Austin,United States,19.9,
1825,Austin,United States,20.15,
1826,Austin,United States,19.87,
1827,Austin,United States,20.52,
1828,Austin,United States,20.02,
1829,Austin,United States,19.71,
1830,Austin,United States,20.39,20.45090909
1831,Austin,United States,18.96,20.46272727
1832,Austin,United States,19.55,20.35363636
1833,Austin,United States,20.03,19.85818182
1834,Austin,United States,20.22,19.93818182
1835,Austin,United States,18.35,19.79727273
1836,Austin,United States,18.75,19.67
1837,Austin,United States,19.34,19.62181818
1838,Austin,United States,18.52,19.44
1839,Austin,United States,19.38,19.38181818
1840,Austin,United States,19.5,19.36272727
1841,Austin,United States,19.54,19.28545455
1842,Austin,United States,19.81,19.36272727
1843,Austin,United States,19.56,19.36363636
1844,Austin,United States,19.69,19.33272727
1845,Austin,United States,19.43,19.26090909
1846,Austin,United States,20,19.41090909
1847,Austin,United States,19.15,19.44727273
1848,Austin,United States,19.38,19.45090909
1849,Austin,United States,19.96,19.58181818
1850,Austin,United States,19.77,19.61727273
1851,Austin,United States,19.86,19.65
1852,Austin,United States,19.6,19.65545455
1853,Austin,United States,18.96,19.57818182
1854,Austin,United States,19.53,19.57545455
1855,Austin,United States,19.23,19.53363636
1856,Austin,United States,19.03,19.49727273
1857,Austin,United States,19.47,19.44909091
1858,Austin,United States,19.68,19.49727273
1859,Austin,United States,20.01,19.55454545
1860,Austin,United States,19.99,19.55727273
1861,Austin,United States,20.3,19.60545455
1862,Austin,United States,20.26,19.64181818
1863,Austin,United States,19.83,19.66272727
1864,Austin,United States,19.4,19.70272727
1865,Austin,United States,19.87,19.73363636
1866,Austin,United States,19.82,19.78727273
1867,Austin,United States,20.62,19.93181818
1868,Austin,United States,19.67,19.95
1869,Austin,United States,19.24,19.91
1870,Austin,United States,19.91,19.90090909
1871,Austin,United States,20.24,19.92363636
1872,Austin,United States,19.52,19.85272727
1873,Austin,United States,19.44,19.77818182
1874,Austin,United States,20.15,19.80727273
1875,Austin,United States,19.59,19.82454545
1876,Austin,United States,19.63,19.80272727
1877,Austin,United States,19.38,19.76272727
1878,Austin,United States,19.72,19.68090909
1879,Austin,United States,20.35,19.74272727
1880,Austin,United States,19.41,19.75818182
1881,Austin,United States,19.81,19.74909091
1882,Austin,United States,19.9,19.71818182
1883,Austin,United States,19.85,19.74818182
1884,Austin,United States,19.64,19.76636364
1885,Austin,United States,19.26,19.68545455
1886,Austin,United States,19.25,19.65454545
1887,Austin,United States,19.74,19.66454545
1888,Austin,United States,19.14,19.64272727
1889,Austin,United States,19.29,19.60363636
1890,Austin,United States,20.17,19.58727273
1891,Austin,United States,19.36,19.58272727
1892,Austin,United States,19.65,19.56818182
1893,Austin,United States,19.94,19.57181818
1894,Austin,United States,20.02,19.58727273
1895,Austin,United States,19.02,19.53090909
1896,Austin,United States,20.23,19.61909091
1897,Austin,United States,20.02,19.68909091
1898,Austin,United States,19.51,19.66818182
1899,Austin,United States,19.5,19.70090909
1900,Austin,United States,19.64,19.73272727
1901,Austin,United States,19.73,19.69272727
1902,Austin,United States,20.38,19.78545455
1903,Austin,United States,18.58,19.68818182
1904,Austin,United States,19.85,19.68
1905,Austin,United States,19.28,19.61272727
1906,Austin,United States,19.6,19.66545455
1907,Austin,United States,20.63,19.70181818
1908,Austin,United States,20.33,19.73
1909,Austin,United States,20.54,19.82363636
1910,Austin,United States,20.23,19.89
1911,Austin,United States,20.57,19.97454545
1912,Austin,United States,19.2,19.92636364
1913,Austin,United States,19.12,19.81181818
1914,Austin,United States,19.19,19.86727273
1915,Austin,United States,19.85,19.86727273
1916,Austin,United States,20.5,19.97818182
1917,Austin,United States,19.88,20.00363636
1918,Austin,United States,19.92,19.93909091
1919,Austin,United States,19.08,19.82545455
1920,Austin,United States,19.56,19.73636364
1921,Austin,United States,20.91,19.79818182
1922,Austin,United States,20.37,19.78
1923,Austin,United States,20.1,19.86181818
1924,Austin,United States,19.37,19.88454545
1925,Austin,United States,20.51,20.00454545
1926,Austin,United States,19.65,19.98636364
1927,Austin,United States,21.23,20.05272727
1928,Austin,United States,19.98,20.06181818
1929,Austin,United States,19.69,20.04090909
1930,Austin,United States,19.53,20.08181818
1931,Austin,United States,20.17,20.13727273
1932,Austin,United States,19.78,20.03454545
1933,Austin,United States,21.39,20.12727273
1934,Austin,United States,20.91,20.20090909
1935,Austin,United States,20.35,20.29
1936,Austin,United States,19.35,20.18454545
1937,Austin,United States,19.96,20.21272727
1938,Austin,United States,20.65,20.16
1939,Austin,United States,20.67,20.22272727
1940,Austin,United States,19.31,20.18818182
1941,Austin,United States,19.94,20.22545455
1942,Austin,United States,19.81,20.19272727
1943,Austin,United States,20.03,20.21545455
1944,Austin,United States,19.86,20.07636364
1945,Austin,United States,20.47,20.03636364
1946,Austin,United States,20.37,20.03818182
1947,Austin,United States,19.82,20.08090909
1948,Austin,United States,20.32,20.11363636
1949,Austin,United States,20.23,20.07545455
1950,Austin,United States,20.74,20.08181818
1951,Austin,United States,20.76,20.21363636
1952,Austin,United States,20.06,20.22454545
1953,Austin,United States,20.61,20.29727273
1954,Austin,United States,21.37,20.41909091
1955,Austin,United States,20.72,20.49727273
1956,Austin,United States,20.93,20.53909091
1957,Austin,United States,20.18,20.52181818
1958,Austin,United States,19.39,20.48272727
1959,Austin,United States,19.52,20.41
1960,Austin,United States,19.47,20.34090909
1961,Austin,United States,19.66,20.24272727
1962,Austin,United States,20.55,20.22363636
1963,Austin,United States,20.47,20.26090909
1964,Austin,United States,20.2,20.22363636
1965,Austin,United States,20.23,20.12
1966,Austin,United States,19.58,20.01636364
1967,Austin,United States,20.34,19.96272727
1968,Austin,United States,19.15,19.86909091
1969,Austin,United States,19.95,19.92
1970,Austin,United States,19.55,19.92272727
1971,Austin,United States,20.82,20.04545455
1972,Austin,United States,20.1,20.08545455
1973,Austin,United States,19.66,20.00454545
1974,Austin,United States,19.93,19.95545455
1975,Austin,United States,19.93,19.93090909
1976,Austin,United States,19.04,19.82272727
1977,Austin,United States,20.3,19.88818182
1978,Austin,United States,19.55,19.81636364
1979,Austin,United States,19.14,19.81545455
1980,Austin,United States,20.3,19.84727273
1981,Austin,United States,20.32,19.91727273
1982,Austin,United States,20.39,19.87818182
1983,Austin,United States,19.2,19.79636364
1984,Austin,United States,20.62,19.88363636
1985,Austin,United States,20.07,19.89636364
1986,Austin,United States,20.56,19.95363636
1987,Austin,United States,19.73,20.01636364
1988,Austin,United States,20.28,20.01454545
1989,Austin,United States,19.99,20.05454545
1990,Austin,United States,20.93,20.21727273
1991,Austin,United States,20.22,20.21
1992,Austin,United States,20.07,20.18727273
1993,Austin,United States,19.72,20.12636364
1994,Austin,United States,20.5,20.24454545
1995,Austin,United States,20.35,20.22
1996,Austin,United States,20.78,20.28454545
1997,Austin,United States,19.73,20.20909091
1998,Austin,United States,21.35,20.35636364
1999,Austin,United States,21.35,20.45363636
2000,Austin,United States,21.12,20.55636364
2001,Austin,United States,20.35,20.50363636
2002,Austin,United States,20.3,20.51090909
2003,Austin,United States,20.37,20.53818182
2004,Austin,United States,20.45,20.60454545
2005,Austin,United States,20.9,20.64090909
2006,Austin,United States,21.56,20.75090909
2007,Austin,United States,19.98,20.67818182
2008,Austin,United States,20.91,20.78545455
2009,Austin,United States,21.06,20.75909091
2010,Austin,United States,20.1,20.64545455
2011,Austin,United States,21.66,20.69454545
2012,Austin,United States,21.56,20.80454545
2013,Austin,United States,22.18,20.97545455
