year,city,country,avg_temp,moving_avg_10yrs
1849,Long Beach,United States,16.03,
1850,Long Beach,United States,15.55,
1851,Long Beach,United States,15.66,
1852,Long Beach,United States,16.06,
1853,Long Beach,United States,16.69,
1854,Long Beach,United States,16.11,
1855,Long Beach,United States,16.31,
1856,Long Beach,United States,15.75,
1857,Long Beach,United States,16.41,
1858,Long Beach,United States,15.96,
1859,Long Beach,United States,15.64,16.01545455
1860,Long Beach,United States,15.74,15.98909091
1861,Long Beach,United States,16.82,16.10454545
1862,Long Beach,United States,16.37,16.16909091
1863,Long Beach,United States,16.1,16.17272727
1864,Long Beach,United States,16.87,16.18909091
1865,Long Beach,United States,16.18,16.19545455
1866,Long Beach,United States,16.64,16.22545455
1867,Long Beach,United States,16.99,16.33818182
1868,Long Beach,United States,16.53,16.34909091
1869,Long Beach,United States,16.3,16.38
1870,Long Beach,United States,15.85,16.39909091
1871,Long Beach,United States,16.13,16.43454545
1872,Long Beach,United States,15.7,16.33272727
1873,Long Beach,United States,15.81,16.28181818
1874,Long Beach,United States,15.4,16.21818182
1875,Long Beach,United States,16.3,16.16636364
1876,Long Beach,United States,15.96,16.14636364
1877,Long Beach,United States,16.49,16.13272727
1878,Long Beach,United States,15.73,16.01818182
1879,Long Beach,United States,15.81,15.95272727
1880,Long Beach,United States,14.66,15.80363636
1881,Long Beach,United States,15.77,15.79636364
1882,Long Beach,United States,15.16,15.70818182
1883,Long Beach,United States,15.83,15.72
1884,Long Beach,United States,15.47,15.68909091
1885,Long Beach,United States,16.51,15.79
1886,Long Beach,United States,15.86,15.75
1887,Long Beach,United States,15.74,15.73
1888,Long Beach,United States,16.04,15.68909091
1889,Long Beach,United States,16.38,15.74818182
1890,Long Beach,United States,16.1,15.77454545
1891,Long Beach,United States,15.86,15.88363636
1892,Long Beach,United States,15.57,15.86545455
1893,Long Beach,United States,15.45,15.89181818
1894,Long Beach,United States,15,15.81636364
1895,Long Beach,United States,15.66,15.83363636
1896,Long Beach,United States,16.15,15.80090909
1897,Long Beach,United States,15.57,15.77454545
1898,Long Beach,United States,15.75,15.77545455
1899,Long Beach,United States,15.78,15.75181818
1900,Long Beach,United States,16.5,15.76272727
1901,Long Beach,United States,16.03,15.75636364
1902,Long Beach,United States,15.32,15.70727273
1903,Long Beach,United States,15.74,15.72272727
1904,Long Beach,United States,16.38,15.80727273
1905,Long Beach,United States,15.92,15.89090909
1906,Long Beach,United States,16.02,15.92363636
1907,Long Beach,United States,15.74,15.88636364
1908,Long Beach,United States,15.36,15.86727273
