year,avg_temp,moving_avg_10yrs
1849,7.98,
1850,7.9,
1851,8.18,
1852,8.1,
1853,8.04,
1854,8.21,
1855,8.11,
1856,8,
1857,7.76,
1858,8.1,
1859,8.25,8.057272727
1860,7.96,8.055454545
1861,7.85,8.050909091
1862,7.56,7.994545455
1863,8.11,7.995454545
1864,7.98,7.99
1865,8.18,7.987272727
1866,8.29,8.003636364
1867,8.44,8.043636364
1868,8.25,8.088181818
1869,8.43,8.118181818
1870,8.2,8.113636364
1871,8.12,8.128181818
1872,8.19,8.159090909
1873,8.35,8.230909091
1874,8.43,8.26
1875,7.86,8.249090909
1876,8.08,8.24
1877,8.54,8.262727273
1878,8.83,8.298181818
1879,8.17,8.290909091
1880,8.12,8.262727273
1881,8.27,8.269090909
1882,8.13,8.27
1883,7.98,8.250909091
1884,7.77,8.198181818
1885,7.92,8.151818182
1886,7.95,8.16
1887,7.91,8.144545455
1888,8.09,8.103636364
1889,8.32,8.057272727
1890,7.97,8.039090909
1891,8.02,8.03
1892,8.07,8.011818182
1893,8.06,8.005454545
1894,8.16,8.021818182
1895,8.15,8.056363636
1896,8.21,8.082727273
1897,8.29,8.113636364
1898,8.18,8.138181818
1899,8.4,8.166363636
1900,8.5,8.182727273
1901,8.54,8.234545455
1902,8.3,8.26
1903,8.22,8.273636364
1904,8.09,8.276363636
1905,8.23,8.282727273
1906,8.38,8.303636364
1907,7.95,8.28
1908,8.19,8.270909091
1909,8.18,8.270909091
1910,8.22,8.254545455
1911,8.18,8.225454545
1912,8.17,8.191818182
1913,8.3,8.191818182
1914,8.59,8.225454545
1915,8.59,8.270909091
1916,8.23,8.270909091
1917,8.02,8.238181818
1918,8.13,8.254545455
1919,8.38,8.271818182
1920,8.36,8.288181818
1921,8.57,8.32
1922,8.41,8.340909091
1923,8.42,8.363636364
1924,8.51,8.382727273
1925,8.53,8.377272727
1926,8.73,8.39
1927,8.52,8.416363636
1928,8.63,8.471818182
1929,8.24,8.481818182
1930,8.63,8.504545455
1931,8.72,8.537272727
1932,8.71,8.55
1933,8.34,8.543636364
1934,8.63,8.562727273
1935,8.52,8.563636364
1936,8.55,8.565454545
1937,8.7,8.562727273
1938,8.86,8.593636364
1939,8.76,8.605454545
1940,8.76,8.652727273
1941,8.77,8.665454545
1942,8.73,8.666363636
1943,8.76,8.670909091
1944,8.85,8.717272727
1945,8.58,8.712727273
1946,8.68,8.727272727
1947,8.8,8.75
1948,8.75,8.754545455
1949,8.59,8.73
1950,8.37,8.694545455
1951,8.63,8.682727273
1952,8.64,8.670909091
1953,8.87,8.683636364
1954,8.56,8.665454545
1955,8.63,8.645454545
1956,8.28,8.618181818
1957,8.73,8.622727273
1958,8.77,8.62
1959,8.73,8.618181818
1960,8.58,8.617272727
1961,8.8,8.656363636
1962,8.75,8.667272727
1963,8.86,8.687272727
1964,8.41,8.645454545
1965,8.53,8.642727273
1966,8.6,8.64
1967,8.7,8.678181818
1968,8.52,8.659090909
1969,8.6,8.643636364
1970,8.7,8.640909091
1971,8.6,8.642727273
1972,8.5,8.615454545
1973,8.95,8.633636364
1974,8.47,8.598181818
1975,8.74,8.628181818
1976,8.35,8.611818182
1977,8.85,8.634545455
1978,8.69,8.633636364
1979,8.73,8.652727273
1980,8.98,8.687272727
1981,9.17,8.73
1982,8.64,8.733636364
1983,9.03,8.781818182
1984,8.69,8.758181818
1985,8.66,8.775454545
1986,8.83,8.783636364
1987,8.99,8.841818182
1988,9.2,8.873636364
1989,8.92,8.894545455
1990,9.23,8.94
1991,9.18,8.958181818
1992,8.84,8.928181818
1993,8.87,8.949090909
1994,9.04,8.95
1995,9.35,9.01
1996,9.04,9.044545455
1997,9.2,9.078181818
1998,9.52,9.126363636
1999,9.29,9.134545455
2000,9.2,9.16
2001,9.41,9.176363636
2002,9.57,9.211818182
2003,9.53,9.274545455
2004,9.32,9.315454545
2005,9.7,9.375454545
2006,9.53,9.391818182
2007,9.73,9.454545455
2008,9.43,9.475454545
2009,9.51,9.474545455
2010,9.7,9.511818182
2011,9.52,9.540909091
2012,9.51,9.55
2013,9.61,9.553636364
